sector,revenue_million,revenue_growth_rate,burn_rate_million,runway_months,funding_rounds,team_size,founder_experience_years,has_technical_cofounder,product_traction_users,customer_growth_rate,enterprise_customers,market_size_billion,business_model,geography,investor_type,founder_background,outcome
Other,0.4,180.2,1.2,3.0,2,70,23,0,266454,114.5,106,100,Subscription,North America,none,serial_founder,Failure
Other,0.0,,5.0,0.0,0,11,7,1,123459,,49,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,108,12,1,112675,,45,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,115,11,1,131702,,52,100,Subscription,Other,none,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,143,13,1,169741,,118,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,266,8,1,166812,,116,250,Subscription,Other,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,8,21,1,181915,,127,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,159,19,1,168107,,67,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,282,12,1,76512,,30,100,Subscription,Other,none,academic,Acquisition
Other,9.55,47.9,3.81,1.1,4,11,1,1,517144,37.3,206,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,35,15,1,43727,,17,100,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,107,17,0,36384,,14,100,Subscription,Other,none,academic,Acquisition
Ecommerce,0.0,,5.0,0.0,0,197,19,1,163777,,32,180,Marketplace,Europe,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,141,14,1,143268,,57,100,Subscription,North America,none,serial_founder,IPO
Health,0.0,,5.0,0.0,0,123,9,1,177414,,70,350,Subscription,Other,none,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,178,15,1,160395,,112,250,Subscription,Other,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,167,0,1,136643,,95,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,232,15,1,118296,,47,100,Subscription,Asia,none,serial_founder,IPO
Other,0.0,,5.0,0.0,0,41,11,1,92534,,37,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,235,22,1,167647,,67,100,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,261,11,1,160556,,64,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,251,18,1,101330,,70,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,113,21,1,124621,,49,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,294,17,1,39785,,15,100,Subscription,North America,none,first_time,IPO
Other,0.49,94.6,0.77,3.0,2,166,0,1,200154,90.6,80,100,Subscription,North America,none,academic,Failure
Health,0.0,,5.0,0.0,0,181,5,0,109834,,43,350,Subscription,Other,none,first_time,Acquisition
SaaS,0.8,120.0,2.0,3.6,1,171,9,1,127764,119.2,89,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,102,15,1,78613,,31,100,Subscription,North America,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,101,19,1,156750,,62,350,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,17,24,1,56948,,22,100,Subscription,North America,none,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,149,0,1,133295,,53,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,72,1,1,123287,,86,250,Subscription,Other,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,209,1,1,183251,,73,350,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,41,6,1,195518,,78,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,193,4,1,82816,,33,100,Subscription,North America,none,ex_bigtech,IPO
Other,0.0,,5.0,0.0,0,36,6,0,119994,,47,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,267,12,0,143676,,57,100,Subscription,North America,none,first_time,Acquisition
Health,30.0,120.0,150.0,3.6,1,35,12,0,146264,98.4,58,350,Subscription,North America,tier2_vc,ex_bigtech,IPO
Other,0.0,,5.0,0.0,0,113,9,0,192399,,76,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,98,22,0,157164,,62,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,147,13,1,160534,,64,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,220,21,1,146425,,58,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,120,11,1,87966,,61,250,Subscription,North America,none,academic,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,48,17,1,62370,116.9,43,250,Subscription,North America,tier2_vc,academic,Failure
SaaS,0.0,,5.0,0.0,0,14,19,1,54843,,38,250,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,41,13,1,41686,,16,100,Subscription,North America,none,ex_bigtech,Acquisition
Ecommerce,2.19,72.5,0.73,7.2,3,10,11,0,125583,48.4,25,180,Marketplace,North America,tier2_vc,first_time,Acquisition
Other,67.5,120.0,270.0,3.6,1,110,16,1,22734,119.8,9,100,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,50,11,0,67767,,27,100,Subscription,North America,none,ex_bigtech,IPO
Other,0.0,,5.0,0.0,0,245,19,1,187846,,75,100,Subscription,North America,none,first_time,IPO
Health,0.97,120.0,4.86,3.6,1,77,13,1,111089,84.5,44,350,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,59,15,1,63279,,25,100,Subscription,Other,none,first_time,Acquisition
Health,11.13,159.4,14.78,1.6,5,198,15,1,924610,115.8,369,350,Subscription,North America,none,academic,IPO
Other,0.0,,5.0,0.0,0,30,3,0,149330,,59,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,119,11,1,109844,125.8,76,250,Subscription,Other,tier2_vc,academic,Acquisition
Other,0.75,120.0,3.0,3.6,1,226,22,0,30436,89.7,12,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,107,5,1,64348,,25,100,Subscription,Other,none,serial_founder,Acquisition
Ecommerce,0.0,,5.0,0.0,0,33,23,0,118165,,23,180,Marketplace,Other,none,first_time,Failure
Other,3.75,120.0,15.0,3.6,1,216,23,0,113391,122.8,45,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
Other,4.76,83.0,4.38,2.3,3,34,1,0,323589,62.5,129,100,Subscription,Europe,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,283,14,0,83179,,33,100,Subscription,Europe,none,first_time,Acquisition
Ecommerce,6.0,60.0,2.5,14.4,2,279,3,0,329080,74.2,65,180,Marketplace,Europe,tier2_vc,ex_bigtech,Acquisition
SaaS,0.26,120.0,0.64,1.9,1,162,2,1,36284,96.5,25,250,Subscription,Other,none,serial_founder,Failure
SaaS,0.0,,5.0,0.0,0,124,21,1,102267,,71,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,260,21,1,25173,,10,100,Subscription,Other,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,85,19,1,155188,,108,250,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,299,9,0,139446,,55,100,Subscription,Other,none,first_time,IPO
Health,12.52,120.0,62.62,3.6,1,286,10,1,106079,117.9,42,350,Subscription,North America,none,academic,IPO
Other,0.0,,5.0,0.0,0,198,21,1,154760,,61,100,Subscription,Asia,none,academic,Acquisition
SaaS,0.24,120.0,0.6,1.8,1,216,12,1,188818,103.7,132,250,Subscription,North America,none,first_time,Failure
SaaS,5.3,31.2,1.15,0.8,3,185,5,1,65013,0.0,45,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,193,6,1,142953,,57,100,Subscription,Other,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,15,19,0,181623,,72,350,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,89,23,1,106964,,42,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,168,17,1,178115,,71,100,Subscription,North America,none,first_time,Acquisition
Other,7.18,120.0,28.72,3.6,1,265,7,0,176918,95.4,70,100,Subscription,Asia,tier2_vc,first_time,Failure
Other,34.4,74.7,21.42,4.2,4,68,13,1,519264,52.2,207,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
SaaS,21.6,100.8,15.12,2.4,3,111,6,0,174972,97.5,122,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,14.0,46.9,10.95,10.5,2,222,8,1,381474,22.4,152,100,Subscription,North America,tier1_vc,academic,Acquisition
SaaS,5.6,120.0,14.0,3.6,1,131,15,1,99427,109.8,69,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,203,19,1,76714,,30,100,Subscription,North America,none,first_time,Acquisition
Other,22.5,120.0,90.0,3.6,1,158,0,1,108119,87.7,43,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,177,2,1,172216,127.4,120,250,Subscription,North America,tier2_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,77,3,1,194201,,77,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,291,0,1,106008,,42,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,40,19,1,106350,,42,100,Subscription,North America,none,ex_bigtech,Acquisition
Ecommerce,20.4,65.3,9.25,5.4,2,71,23,0,163664,58.2,32,180,Marketplace,North America,tier2_vc,first_time,Acquisition
Other,1.5,120.0,6.0,3.6,1,17,11,0,142805,103.7,57,100,Subscription,North America,tier2_vc,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,185,14,0,48246,,9,180,Marketplace,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,258,0,1,50496,,20,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,187,3,1,176864,,70,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,164,21,0,43555,,17,100,Subscription,North America,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,247,15,1,85359,,59,250,Subscription,Other,none,first_time,Acquisition
Ecommerce,49.2,113.2,38.67,5.8,2,171,24,1,196560,96.4,39,180,Marketplace,North America,tier2_vc,first_time,Acquisition
Other,16.02,45.7,8.14,4.4,3,77,19,0,415791,21.5,166,100,Subscription,North America,tier2_vc,first_time,IPO
SaaS,0.24,120.0,0.6,1.8,1,70,20,1,93958,92.3,65,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,133,1,1,159415,,63,100,Subscription,North America,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,92,12,0,76928,,30,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,225,18,1,108749,,43,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,17.17,41.6,4.96,10.2,3,200,7,1,434490,21.7,304,250,Subscription,North America,tier2_vc,serial_founder,Acquisition
Health,0.0,,5.0,0.0,0,12,11,1,23322,,9,350,Subscription,North America,none,first_time,Acquisition
Other,4.13,120.0,16.52,3.6,1,213,10,1,192564,128.3,77,100,Subscription,Europe,tier2_vc,first_time,Acquisition
Health,1.95,202.8,5.5,2.5,3,148,7,1,263787,189.8,105,350,Subscription,North America,none,academic,IPO
Health,0.0,,5.0,0.0,0,205,8,0,112016,,44,350,Subscription,North America,none,academic,Acquisition
Health,0.0,,5.0,0.0,0,78,24,1,192787,,77,350,Subscription,North America,none,first_time,Acquisition
Other,1.93,120.0,7.72,3.6,1,78,9,0,139473,64.7,55,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,297,3,1,126884,,88,250,Subscription,North America,none,academic,Acquisition
Other,6.47,240.0,25.86,3.1,2,194,20,0,333866,158.7,133,100,Subscription,North America,tier1_vc,first_time,Failure
SaaS,0.0,120.0,0.0,0.0,1,245,14,0,24294,89.0,17,250,Subscription,Europe,none,first_time,Failure
Other,1.05,120.0,4.2,3.6,1,28,12,0,82064,114.9,32,100,Subscription,Other,none,academic,Acquisition
Other,5.86,71.6,6.99,4.0,2,181,12,1,238960,19.5,95,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,55,16,1,76823,,30,100,Subscription,Europe,none,first_time,IPO
SaaS,0.0,120.0,0.0,0.0,1,29,1,1,138352,71.6,96,250,Subscription,Other,tier2_vc,first_time,Failure
SaaS,15.2,51.6,5.45,6.6,3,152,24,1,395997,54.8,277,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,162,0,0,27733,,11,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,256.53,62.6,89.22,2.8,6,176,23,1,571290,74.0,228,100,Subscription,North America,tier2_vc,serial_founder,IPO
Other,0.0,,5.0,0.0,0,91,24,1,114872,,45,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,120.0,0.0,0.0,1,263,4,0,173396,82.6,69,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,42,16,0,179731,,71,100,Subscription,Other,none,first_time,Acquisition
Other,38.0,197.3,124.95,1.9,2,143,14,0,174232,142.6,69,100,Subscription,North America,tier1_vc,serial_founder,Acquisition
Ecommerce,0.6,120.0,1.0,3.0,1,279,24,1,92717,65.5,18,180,Marketplace,Other,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,30,21,1,199029,,139,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,120.0,0.0,0.0,1,281,17,1,83253,98.9,33,100,Subscription,Other,tier2_vc,academic,Failure
Other,10.38,48.6,5.6,5.1,3,293,2,1,415845,46.8,166,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,91,16,1,113064,,45,100,Subscription,Other,none,academic,Acquisition
Fintech,33.21,78.1,18.02,11.0,4,282,12,1,557644,30.2,278,200,Transaction-fee,North America,tier2_vc,first_time,Acquisition
Other,2.35,120.0,9.4,3.6,1,177,2,0,129071,97.2,51,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,4.9,300.0,18.94,3.1,3,209,6,1,78510,244.7,31,100,Subscription,North America,tier2_vc,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,110,7,1,146058,,58,100,Subscription,North America,none,academic,Acquisition
Fintech,0.0,120.0,0.0,0.0,1,53,12,0,81067,86.1,40,200,Transaction-fee,Europe,tier2_vc,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,231,18,1,188431,,75,100,Subscription,North America,none,first_time,Acquisition
Other,7.5,120.0,30.0,3.6,1,161,14,1,186725,117.7,74,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,243,14,1,33568,,6,180,Marketplace,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,37,16,0,97760,,39,100,Subscription,Europe,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,296,6,1,128477,,51,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,171,12,1,93315,,37,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,288,0,0,150617,,60,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,208,13,1,166251,,66,100,Subscription,Europe,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,285,5,1,160331,,112,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,250,18,1,126262,,88,250,Subscription,North America,none,first_time,Acquisition
SaaS,8.08,74.6,6.28,5.7,2,289,20,1,122546,59.0,85,250,Subscription,Other,tier2_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,128,3,1,44013,,17,100,Subscription,Europe,none,serial_founder,Acquisition
Fintech,53.7,137.1,51.12,0.6,4,55,24,1,98872,92.4,49,200,Transaction-fee,North America,tier2_vc,academic,Failure
Other,3.0,120.0,12.0,3.6,1,82,5,1,47305,127.4,18,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,72,21,1,92941,,37,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,180,4,1,100349,,40,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,271,20,1,160554,,64,100,Subscription,Europe,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,204,11,1,164459,,115,250,Subscription,Other,none,academic,Failure
SaaS,0.0,,5.0,0.0,0,222,22,1,60070,,42,250,Subscription,North America,none,first_time,Failure
Other,10.39,63.2,10.94,9.9,2,13,9,0,332396,70.8,132,100,Subscription,Asia,tier2_vc,ex_bigtech,IPO
SaaS,4.4,120.0,11.0,3.6,1,28,23,1,180274,82.7,126,250,Subscription,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,73,10,0,95019,,38,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,222,20,1,171320,,68,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,10.0,120.0,40.0,3.6,1,38,0,0,31112,109.7,12,100,Subscription,North America,tier2_vc,academic,IPO
Other,3.5,120.0,14.0,3.6,1,89,3,0,192553,89.0,77,100,Subscription,North America,tier2_vc,first_time,Failure
SaaS,4.8,120.0,12.0,3.6,1,230,9,1,96752,90.7,67,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,120.12,43.8,35.06,36.0,5,93,11,0,276180,28.4,110,100,Subscription,North America,tier2_vc,first_time,IPO
Health,1.92,120.0,9.59,3.6,1,204,7,1,88795,101.8,35,350,Subscription,North America,none,ex_bigtech,Failure
SaaS,3.2,120.0,8.0,3.6,1,98,13,1,23927,108.8,16,250,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,250,17,1,40218,,16,100,Subscription,North America,none,serial_founder,Acquisition
Other,1.93,120.0,7.72,3.6,1,264,7,1,66714,73.7,26,100,Subscription,Europe,tier2_vc,ex_bigtech,Failure
SaaS,0.02,120.0,0.04,0.1,1,169,0,1,89742,87.0,62,250,Subscription,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,190,18,0,97269,,38,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,231,24,1,113278,,79,250,Subscription,Other,none,first_time,Failure
Health,70.19,120.0,350.93,3.6,1,241,7,1,42340,106.7,16,350,Subscription,North America,none,serial_founder,IPO
Other,0.0,,5.0,0.0,1,278,1,1,58888,,23,100,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,285,0,0,86482,,34,100,Subscription,Other,none,first_time,Failure
Other,115.0,9.7,18.51,60.0,2,116,23,1,399476,17.4,159,100,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,138,22,1,148157,,59,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,267,14,1,191634,,76,100,Subscription,Other,none,academic,Acquisition
Other,1.86,156.4,4.84,4.7,2,165,12,0,265318,136.9,106,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,19.75,80.0,8.23,4.7,4,257,24,1,178676,32.6,125,250,Subscription,Europe,tier2_vc,ex_bigtech,Acquisition
Other,4.74,240.0,18.94,1.7,2,59,20,0,174090,154.9,69,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
Ecommerce,0.0,,5.0,0.0,0,121,13,1,45982,,9,180,Marketplace,Europe,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,146,6,1,42932,,17,100,Subscription,North America,none,ex_bigtech,Acquisition
Health,0.0,,5.0,0.0,0,55,3,1,123509,,49,350,Subscription,Middle East,none,first_time,IPO
Health,0.0,,5.0,0.0,0,185,10,1,135102,,54,350,Subscription,North America,none,serial_founder,IPO
Health,8.96,240.0,44.78,3.1,2,298,21,1,116734,183.6,46,350,Subscription,Asia,none,first_time,Failure
Other,0.0,,5.0,0.0,0,247,1,0,101715,,40,100,Subscription,North America,none,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,145,5,1,141407,,28,180,Marketplace,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,109,5,1,29359,,11,100,Subscription,Other,none,academic,Acquisition
SaaS,0.0,,5.0,0.0,0,67,16,1,69877,,48,250,Subscription,North America,none,academic,Acquisition
SaaS,2.08,120.0,5.2,3.6,1,168,19,1,34193,85.9,23,250,Subscription,Other,tier2_vc,first_time,Acquisition
Health,5.95,77.5,9.61,8.2,2,221,16,1,109956,82.1,43,350,Subscription,North America,none,first_time,Acquisition
SaaS,1.57,120.0,3.92,3.6,1,278,23,1,61939,127.3,43,250,Subscription,Other,tier2_vc,first_time,Failure
SaaS,0.03,,5.0,0.1,1,149,22,1,132389,,92,250,Subscription,Europe,none,academic,Failure
Other,0.0,,5.0,0.0,0,195,17,0,33607,,13,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,95,24,0,94154,,37,100,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,47,19,1,149922,,59,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,273,13,0,25086,,10,100,Subscription,Other,none,ex_bigtech,Acquisition
Health,0.0,,5.0,0.0,0,270,20,0,90957,,36,350,Subscription,North America,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,84,5,1,92077,,36,100,Subscription,North America,none,ex_bigtech,Acquisition
Health,0.0,,5.0,0.0,0,137,20,1,119931,,47,350,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,223,23,0,95822,,67,250,Subscription,Middle East,none,ex_bigtech,Failure
SaaS,2.8,120.0,7.0,3.6,1,292,0,1,131130,111.1,91,250,Subscription,Europe,tier2_vc,first_time,Acquisition
Health,6.27,73.4,4.79,0.3,4,85,1,1,624156,98.1,249,350,Subscription,North America,tier2_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,45,11,0,92938,,37,100,Subscription,Other,none,serial_founder,Acquisition
Health,5.88,49.5,4.05,4.8,3,130,22,0,256215,24.3,102,350,Subscription,North America,tier2_vc,serial_founder,Acquisition
Ecommerce,0.0,,5.0,0.0,0,127,21,1,32369,,6,180,Marketplace,Other,none,first_time,Acquisition
Ecommerce,0.0,,5.0,0.0,0,11,12,1,63350,,12,180,Marketplace,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,246,24,1,25877,,18,250,Subscription,Europe,none,serial_founder,IPO
SaaS,104.44,45.8,19.93,37.5,5,77,8,1,541625,55.5,379,250,Subscription,North America,tier2_vc,academic,IPO
Health,4.14,164.0,14.16,3.4,2,238,9,1,62570,138.1,25,350,Subscription,North America,none,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,173,8,1,57553,,23,100,Subscription,Other,none,first_time,Acquisition
Other,12.45,110.0,6.52,3.8,7,219,13,1,633626,78.9,253,100,Subscription,North America,tier2_vc,first_time,Acquisition
Health,4.41,105.8,6.48,10.1,3,133,14,1,134775,123.6,53,350,Subscription,North America,none,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,142,12,1,96457,,38,100,Subscription,Other,none,academic,Failure
Other,0.0,120.0,0.0,0.0,1,162,24,0,106535,107.2,42,100,Subscription,Other,tier2_vc,first_time,Acquisition
SaaS,1.62,123.5,1.39,1.5,3,54,12,1,147903,102.3,103,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,34,14,1,53714,,21,100,Subscription,Other,none,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,52,15,1,109709,,21,180,Marketplace,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,207,16,1,93358,,37,100,Subscription,North America,none,serial_founder,Acquisition
Other,0.78,120.0,3.12,3.6,1,206,7,0,117102,137.9,46,100,Subscription,Europe,tier2_vc,ex_bigtech,Failure
Other,0.4,120.0,1.6,3.6,1,206,13,1,26142,95.4,10,100,Subscription,North America,none,serial_founder,Failure
SaaS,0.0,,5.0,0.0,0,73,15,1,73420,,51,250,Subscription,Europe,none,first_time,Acquisition
Health,0.0,120.0,0.0,0.0,1,43,21,1,119620,105.3,47,350,Subscription,Europe,tier2_vc,first_time,Failure
Health,0.0,120.0,0.0,0.0,1,17,14,1,98323,63.3,39,350,Subscription,Europe,tier2_vc,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,203,23,0,97468,,38,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,18,4,1,120243,,48,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,118,1,0,194620,,77,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,207,16,0,68725,,27,100,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,236,14,1,37279,,14,100,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,117,24,0,180988,,72,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,28.16,75.7,7.41,5.1,6,32,7,1,823704,48.4,500,250,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Health,2.52,153.7,8.08,4.7,2,198,15,1,373450,151.2,149,350,Subscription,North America,none,ex_bigtech,IPO
Other,0.0,,5.0,0.0,0,139,19,0,111334,,44,100,Subscription,Other,none,academic,Acquisition
Other,0.15,120.0,0.6,1.8,1,34,16,0,58746,114.5,23,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.55,120.0,1.38,3.6,1,40,2,1,177622,110.2,124,250,Subscription,Europe,tier2_vc,first_time,Failure
Health,46.8,27.9,13.58,32.9,4,18,20,1,174448,7.3,69,350,Subscription,North America,tier1_vc,ex_bigtech,IPO
Other,0.0,,5.0,0.0,0,179,11,1,112462,,44,100,Subscription,Other,none,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,253,23,1,61687,,43,250,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,7,0,1,169679,,67,100,Subscription,North America,none,serial_founder,IPO
SaaS,8.0,120.0,20.0,3.6,1,120,0,1,100023,67.8,70,250,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,287,0,0,69858,,27,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,13,14,0,120694,,48,100,Subscription,Europe,none,first_time,Acquisition
Other,0.72,120.0,2.9,3.6,1,276,17,0,21665,113.8,8,100,Subscription,Other,tier2_vc,first_time,Failure
Health,4.48,240.0,22.4,2.6,2,64,2,0,263040,227.6,105,350,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,83,4,1,86259,,34,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,74,3,1,155597,,62,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,52,18,1,110362,,44,100,Subscription,Asia,none,ex_bigtech,Acquisition
SaaS,0.86,120.0,2.16,3.6,1,70,6,1,116024,126.9,81,250,Subscription,North America,tier2_vc,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,253,17,1,161527,,64,100,Subscription,Other,none,first_time,Acquisition
